"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000258572",6.67619501192136,2.07473544297862,0.60376855689366,3.43630919379599,0.000589697563300365,0.00849249954567497,"ENSG00000258572"
"ENSG00000211949",607.232643893883,2.27124098835601,0.39434128620346,5.75958203672381,8.43224700320667e-09,8.63827200730563e-07,"ENSG00000211949"
"ENSG00000211956",691.765953173309,4.19389632586552,0.453387501213393,9.25013661523855,2.24205921432817e-20,6.36552640365114e-17,"ENSG00000211956"
"ENSG00000211952",15.468096198996,3.76924100370223,0.639603109497874,5.89309361966878,3.79031516658457e-09,4.35426148096542e-07,"ENSG00000211952"
"ENSG00000211947",404.344346974323,2.58567224267867,0.495467149631582,5.2186552521218,1.80226871033075e-07,1.24109198603194e-05,"ENSG00000211947"
"ENSG00000211943",224.391354841637,2.68439767378739,0.486519318371823,5.5175561841428,3.43746205463827e-08,2.97026612495135e-06,"ENSG00000211943"
"ENSG00000100600",165.411188611687,0.840629523042187,0.226658090325093,3.70879998960761,0.000208243838053426,0.00388604510560919,"ENSG00000100600"
"ENSG00000211946",132.356085266419,5.2531360856939,0.811232868684911,6.47549709642529,9.45003048625404e-11,1.6768741596769e-08,"ENSG00000211946"
"ENSG00000211950",471.76079857398,5.76926714838117,0.715900516262237,8.0587553959353,7.70751499837348e-16,5.89150588760286e-13,"ENSG00000211950"
"ENSG00000211955",315.804211120448,3.0930635794143,0.749914008601257,4.12455767453057,3.71447909143374e-05,0.0010002921065468,"ENSG00000211955"
"ENSG00000270550",334.02468405473,2.52570891930308,0.654838018099075,3.85699798957145,0.000114788106097208,0.00242603985026698,"ENSG00000270550"
"ENSG00000119714",139.339311543904,-1.80382008581786,0.232229519723424,-7.76740221469749,8.01121415452344e-15,4.08243256684613e-12,"ENSG00000119714"
"ENSG00000211895",26960.503141286,3.22465431842231,0.844563541736672,3.81813109264872,0.000134466471509297,0.00273529852075308,"ENSG00000211895"
