"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)","6/17",0.000686346141052447,0.030351751570986,0,0,7.37592494714588,53.7271849642724,"CCNB1;CDCA8;BIRC5;AURKB;NDC80;MAD2L1"
"Regulation Of Single Stranded Viral RNA Replication Via Double Stranded DNA Intermediate (GO:0045091)","6/17",0.000686346141052447,0.030351751570986,0,0,7.37592494714588,53.7271849642724,"TOP2A;APOBEC3H;MORC2;APOBEC3A;RESF1;APOBEC3B"
"Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095)","8/30",0.000755268992264668,0.0329923601255127,0,0,4.92152970755591,35.3781042336019,"CDKN1A;DEPDC1B;CHEK1;PLK1;CDK1;BRCA1;CLSPN;TICRR"
"Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)","50/456",0.000820364905053024,0.035136659057952,0,0,1.68382668382668,11.9648705035731,"GMNN;CBY1;HMGB2;ENO1;BRCA1;FOXM1;RRP8;ING4;SUMO1;YWHAQ;SIN3A;SCMH1;CD38;SOX8;BTRC;KLF10;DAXX;SIRT1;COMMD7;DEPDC1;TIMELESS;BIRC5;PPARG;GAS6;TP53;LEF1;PDGFB;ZBTB4;RNF2;NFIL3;CCDC85B;BAHD1;E2F1;PATZ1;ZNF224;HSPA8;CDKN2A;HMGA1;TRERF1;HINFP;CENPF;CDK5;ID2;BCL3;ID1;ZNF217;CTNNB1;BCOR;EZH2;LIMS1"
"Chromosome Organization (GO:0051276)","10/45",0.000823975254290331,0.035136659057952,0,0,3.86984589754269,27.4812077924889,"TOP2A;H1-5;H1-4;CENPW;NUF2;CDCA8;H1-10;H3-3A;H1-3;H1-2"
"Positive Regulation Of Chromosome Segregation (GO:0051984)","6/18",0.000969687147383916,0.0399243604819447,0,0,6.7609011627907,46.9107633240798,"CCNB1;CDK1;NCAPG;CDC6;SMC4;NCAPH"
"Protein Localization To Chromosome, Centromeric Region (GO:0071459)","6/18",0.000969687147383916,0.0399243604819447,0,0,6.7609011627907,46.9107633240798,"BOD1;CDK1;TTK;KNL1;HASPIN;CENPA"
"Regulation Of Cell Cycle G2/M Phase Transition (GO:1902749)","6/18",0.000969687147383916,0.0399243604819447,0,0,6.7609011627907,46.9107633240798,"ING4;CDKN1A;CENPF;KIF14;TP53;AURKA"
"B Cell Receptor Signaling Pathway (GO:0050853)","10/46",0.000988566470025476,0.0402391488139915,0,0,3.76214771622935,26.0312581708918,"IGHG3;IGHM;IGHG4;IGHG1;IGKC;IGLC3;PIK3CD;CD38;IGHA1;IGHA2"
"Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992)","12/63",0.00111852336010644,0.0450174233247335,0,0,3.1888364104766,21.6705219368936,"CDC20;CCNB1;STIL;TFDP1;RRM2;ESPL1;UBE2C;CDCA5;CDK1;CDC25C;DLGAP5;CDC25A"
"ATP Biosynthetic Process (GO:0006754)","7/25",0.00117837764203056,0.0468994301528163,0,0,5.26060606060606,35.4755107043732,"ATP5PF;ATP5PD;ATP5MC3;ATP5MK;ATP5MJ;ATP5F1C;ATP5F1E"
"Positive Regulation Of Chromosome Separation (GO:1905820)","5/13",0.00125885702470971,0.0488358611730687,0,0,8.44680464778504,56.4039696077545,"CDCA8;NCAPG;BIRC5;SMC4;NCAPH"
"Positive Regulation Of Ubiquitin Protein Ligase Activity (GO:1904668)","4/8",0.0012679327440244,0.0488358611730687,0,0,13.5079825834543,90.1032075473777,"CDC20;UBE2C;UBE2S;PLK1"
"Regulation Of Sister Chromatid Cohesion (GO:0007063)","4/8",0.0012679327440244,0.0488358611730687,0,0,13.5079825834543,90.1032075473777,"FEN1;ESPL1;CTNNB1;BUB1"
"Antimicrobial Humoral Response (GO:0019730)","16/100",0.00133440140015681,0.0498118262950954,0,0,2.58439656975528,17.1068250840467,"IGHM;PPBP;CXCL3;CXCL2;F3;JCHAIN;H2BC12;H2BC21;ROMO1;FAU;IGHA1;S100A9;IGHA2;GAPDH;IGKV3-20;PF4V1"
"Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:0042771)","6/19",0.00133499031946654,0.0498118262950954,0,0,6.24049642218247,41.3047926628397,"BCL3;DDIT4;RPS27L;SIRT1;TP53;TP73"
"Mitotic Sister Chromatid Cohesion (GO:0007064)","6/19",0.00133499031946654,0.0498118262950954,0,0,6.24049642218247,41.3047926628397,"SGO1;NPC1;CDCA5;DSCC1;ESCO2;HASPIN"
